,link,hour,qlength,congestion,nvehicles
201,32028,7-8,382.11699999999996,0.2868292682926829,49
202,32029,7-8,39.406999999999925,0.2709677419354839,35
203,32030,7-8,343.4669999999999,0.16363636363636366,24
204,32031,7-8,146.79599999999994,0.22417582417582418,34
205,32032,7-8,146.54599999999994,0.2707317073170732,37
206,32033,7-8,337.77699999999993,0.19499999999999998,26
207,32034,7-8,19.287000000000035,0.14201183431952663,20
208,32035,7-8,337.2869999999999,0.10778443113772455,15
209,32036,7-8,344.70699999999994,0.2787096774193549,36
210,32037,7-8,19.466999999999985,0.30604026845637583,38
211,32038,7-8,0.0,0.24324324324324326,30
212,32039,7-8,83.60699999999997,0.20903225806451614,27
213,32040,7-8,83.60699999999997,0.2174496644295302,27
214,32041,7-8,7.037000000000035,0.1981132075471698,35
215,41001,7-8,382.4529999999999,0.20905511811023625,59
216,41002,7-8,564.8359999999999,0.30990566037735845,73
217,41003,7-8,364.8929999999999,0.25955056179775277,77
218,41004,7-8,558.016,0.24069767441860462,69
219,41005,7-8,558.156,0.2526923076923077,73
220,41006,7-8,49.993999999999915,0.23319838056680164,64
221,41007,7-8,570.6059999999999,0.20954198473282443,61
222,41008,7-8,570.2159999999999,0.24456521739130435,75
223,41009,7-8,570.2159999999999,0.268705035971223,83
224,41010,7-8,558.146,0.24728434504792332,86
225,41011,7-8,570.286,0.20224719101123595,60
226,41012,7-8,558.1859999999999,0.253125,63
227,41013,7-8,570.4959999999999,0.23463035019455253,67
228,41014,7-8,564.016,0.2350515463917526,76
229,41015,7-8,564.396,0.27467532467532463,94
230,41016,7-8,558.376,0.2409448818897638,68
231,41017,7-8,626.626,0.2591439688715953,74
232,41018,7-8,575.526,0.309375,77
233,41019,7-8,589.0959999999999,0.30348837209302326,87
234,41020,7-8,565.1159999999999,0.3031088082901554,65
235,41021,7-8,558.4459999999999,0.2661971830985915,63
236,41022,7-8,570.9559999999999,0.19014084507042253,45
237,41023,7-8,576.6659999999999,0.19962406015037593,59
238,41024,7-8,460.2229999999999,0.29106382978723405,76
239,41025,7-8,558.396,0.3010033444816053,100
240,41026,7-8,377.7629999999999,0.3148148148148148,85
241,41027,7-8,73.66399999999999,0.2940944881889764,83
242,41028,7-8,558.3359999999999,0.26043956043956046,79
243,41029,7-8,43.903999999999996,0.1569767441860465,45
244,42001,7-8,38.636000000000024,0.2672727272727273,49
245,42002,7-8,25.456000000000017,0.271875,58
246,42003,7-8,43.50600000000003,0.2372093023255814,51
247,42004,7-8,43.32600000000002,0.27729083665338644,58
248,42005,7-8,58.45799999999997,0.28854961832061066,63
249,42006,7-8,58.358000000000004,0.29770992366412213,65
250,42007,7-8,78.988,0.2691176470588235,61
251,42008,7-8,85.06799999999998,0.34867924528301886,77
252,42009,7-8,33.58600000000001,0.3220447284345048,84
253,42010,7-8,60.74799999999999,0.31267605633802814,74
254,42011,7-8,60.74799999999999,0.3125581395348837,56
255,42012,7-8,58.108000000000004,0.24,52
256,42013,7-8,63.067999999999984,0.34714285714285714,81
257,42014,7-8,112.64799999999997,0.34285714285714286,88
258,42015,7-8,58.99799999999999,0.286764705882353,65
259,42016,7-8,27.425999999999988,0.21376518218623483,44
260,42017,7-8,26.50600000000003,0.2817391304347826,54
261,42018,7-8,26.01600000000002,0.3540983606557377,72
262,42019,7-8,26.01600000000002,0.31764705882352945,54
263,42020,7-8,25.996000000000038,0.17534246575342466,32
264,42021,7-8,25.996000000000038,0.27867298578199046,49
265,42022,7-8,49.577999999999975,0.23255813953488377,50
266,42023,7-8,49.577999999999975,0.2947368421052632,56
267,42024,7-8,67.358,0.22574257425742572,57
268,42025,7-8,206.885,0.38158995815899577,76
269,42026,7-8,52.738,0.32,72
