period,inter,direc,cycle,type,pollutant,emi
morning1,Dunbar,SB,28,61,Total Energy,1858603958.3856997
morning1,Dunbar,SB,28,61,Atmospheric CO2,136906.81798517998
morning1,Dunbar,SB,28,61,Nitrous Oxide,0.14938880787920003
morning1,Dunbar,SB,28,61,Methane,2.9797894571119534
morning1,Dunbar,SB,28,61,Total Gaseous Hydrocarbons,22.37199827628
morning1,Dunbar,SB,28,52,Total Energy,841083147.0
morning1,Dunbar,SB,28,52,Atmospheric CO2,61412.557400000005
morning1,Dunbar,SB,28,52,Nitrous Oxide,0.30152498990000004
morning1,Dunbar,SB,28,52,Methane,2.317101990459998
morning1,Dunbar,SB,28,52,Total Gaseous Hydrocarbons,22.81509520000001
morning1,Dunbar,SB,28,42,Total Energy,0.0
morning1,Dunbar,SB,28,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,28,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,28,42,Methane,0.0
morning1,Dunbar,SB,28,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,28,21,Total Energy,3869838894.3
morning1,Dunbar,SB,28,21,Atmospheric CO2,278168.2813726
morning1,Dunbar,SB,28,21,Nitrous Oxide,1.2268816047248003
morning1,Dunbar,SB,28,21,Methane,3.8599336419814994
morning1,Dunbar,SB,28,21,Total Gaseous Hydrocarbons,37.035900387
morning1,Dunbar,SB,27,61,Total Energy,0.0
morning1,Dunbar,SB,27,61,Atmospheric CO2,0.0
morning1,Dunbar,SB,27,61,Nitrous Oxide,0.0
morning1,Dunbar,SB,27,61,Methane,0.0
morning1,Dunbar,SB,27,61,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,27,52,Total Energy,0.0
morning1,Dunbar,SB,27,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,27,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,27,52,Methane,0.0
morning1,Dunbar,SB,27,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,27,42,Total Energy,0.0
morning1,Dunbar,SB,27,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,27,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,27,42,Methane,0.0
morning1,Dunbar,SB,27,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,27,21,Total Energy,1178912253.8140001
morning1,Dunbar,SB,27,21,Atmospheric CO2,84741.44021439996
morning1,Dunbar,SB,27,21,Nitrous Oxide,0.4006143900019
morning1,Dunbar,SB,27,21,Methane,0.9689229573363898
morning1,Dunbar,SB,27,21,Total Gaseous Hydrocarbons,10.083717924399997
morning1,Dunbar,SB,26,61,Total Energy,1061208204.654
morning1,Dunbar,SB,26,61,Atmospheric CO2,78169.74202517999
morning1,Dunbar,SB,26,61,Nitrous Oxide,0.10886870440270002
morning1,Dunbar,SB,26,61,Methane,2.3189095925777443
morning1,Dunbar,SB,26,61,Total Gaseous Hydrocarbons,16.91584170208
morning1,Dunbar,SB,26,52,Total Energy,0.0
morning1,Dunbar,SB,26,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,26,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,26,52,Methane,0.0
morning1,Dunbar,SB,26,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,26,42,Total Energy,0.0
morning1,Dunbar,SB,26,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,26,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,26,42,Methane,0.0
morning1,Dunbar,SB,26,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,26,21,Total Energy,2689453031.534
morning1,Dunbar,SB,26,21,Atmospheric CO2,193320.50207199997
morning1,Dunbar,SB,26,21,Nitrous Oxide,0.7854456091642998
morning1,Dunbar,SB,26,21,Methane,3.4834458317666
morning1,Dunbar,SB,26,21,Total Gaseous Hydrocarbons,30.575298337
morning1,Dunbar,SB,25,61,Total Energy,863326993.1262999
morning1,Dunbar,SB,25,61,Atmospheric CO2,63593.57532835001
morning1,Dunbar,SB,25,61,Nitrous Oxide,0.0502581832195
morning1,Dunbar,SB,25,61,Methane,0.9086626681069959
morning1,Dunbar,SB,25,61,Total Gaseous Hydrocarbons,6.396209202309999
morning1,Dunbar,SB,25,52,Total Energy,1287588810.0
morning1,Dunbar,SB,25,52,Atmospheric CO2,94144.43569999999
morning1,Dunbar,SB,25,52,Nitrous Oxide,0.3023589337
morning1,Dunbar,SB,25,52,Methane,2.1724514483500004
morning1,Dunbar,SB,25,52,Total Gaseous Hydrocarbons,24.3253645
morning1,Dunbar,SB,25,42,Total Energy,0.0
morning1,Dunbar,SB,25,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,25,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,25,42,Methane,0.0
morning1,Dunbar,SB,25,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,25,21,Total Energy,2329205972.321
morning1,Dunbar,SB,25,21,Atmospheric CO2,167425.62712150006
morning1,Dunbar,SB,25,21,Nitrous Oxide,0.7357714933176
morning1,Dunbar,SB,25,21,Methane,2.978977148346
morning1,Dunbar,SB,25,21,Total Gaseous Hydrocarbons,26.514173607999997
morning1,Dunbar,SB,24,61,Total Energy,2705373971.8669
morning1,Dunbar,SB,24,61,Atmospheric CO2,199280.73930547995
morning1,Dunbar,SB,24,61,Nitrous Oxide,0.408220992287
morning1,Dunbar,SB,24,61,Methane,8.876175850927645
morning1,Dunbar,SB,24,61,Total Gaseous Hydrocarbons,61.43884847300001
morning1,Dunbar,SB,24,52,Total Energy,0.0
morning1,Dunbar,SB,24,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,24,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,24,52,Methane,0.0
morning1,Dunbar,SB,24,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,24,42,Total Energy,0.0
morning1,Dunbar,SB,24,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,24,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,24,42,Methane,0.0
morning1,Dunbar,SB,24,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,24,21,Total Energy,2367323833.642
morning1,Dunbar,SB,24,21,Atmospheric CO2,170165.53486100002
morning1,Dunbar,SB,24,21,Nitrous Oxide,0.6544284467678001
morning1,Dunbar,SB,24,21,Methane,3.0680221084106996
