,link,hour,qlength
324,12005,8-9,1.7709999999999582
325,12006,8-9,228.993
326,12007,8-9,136.15099999999995
327,12008,8-9,13.880999999999972
328,12009,8-9,13.880999999999972
329,12010,8-9,1.7509999999999764
330,12011,8-9,0.0
331,12012,8-9,0.0
332,12013,8-9,13.560999999999979
333,12014,8-9,396.263
334,12015,8-9,192.59299999999996
335,12016,8-9,192.28299999999996
336,12017,8-9,20.500999999999976
337,12018,8-9,122.28099999999995
338,12019,8-9,374.703
339,12020,8-9,7.971000000000004
340,12021,8-9,13.350999999999999
341,12022,8-9,18.950999999999965
342,12023,8-9,6.5709999999999695
343,12024,8-9,374.703
344,12025,8-9,19.480999999999995
345,12026,8-9,14.510999999999967
346,12027,8-9,19.78099999999995
347,12028,8-9,1.5910000000000082
348,12029,8-9,31.510999999999967
349,12030,8-9,31.510999999999967
350,12031,8-9,14.460999999999956
351,12032,8-9,7.850999999999999
352,12033,8-9,192.40299999999996
353,12034,8-9,7.61099999999999
354,12035,8-9,13.060999999999979
355,21001,8-9,32.144000000000005
356,21002,8-9,332.93499999999995
357,21003,8-9,339.765
358,21004,8-9,56.65399999999994
359,21005,8-9,51.233999999999924
360,21006,8-9,1.5039999999999054
361,21007,8-9,339.55499999999995
362,21008,8-9,345.55499999999995
363,21009,8-9,13.513999999999896
364,21010,8-9,363.42499999999995
365,21011,8-9,333.255
366,21012,8-9,39.39399999999995
367,21013,8-9,136.11399999999992
368,21014,8-9,333.19499999999994
369,21015,8-9,345.93499999999995
370,21016,8-9,13.95399999999995
371,21017,8-9,13.95399999999995
372,21018,8-9,39.04399999999998
373,21019,8-9,333.17499999999995
374,21020,8-9,338.92499999999995
375,21021,8-9,118.98399999999992
376,21022,8-9,339.47499999999997
377,21023,8-9,141.58399999999995
378,21024,8-9,345.85499999999996
379,21025,8-9,37.073999999999955
380,21026,8-9,13.12399999999991
381,21027,8-9,56.523999999999944
382,21028,8-9,111.98399999999992
383,21029,8-9,333.28499999999997
384,21030,8-9,1.6339999999999009
385,21031,8-9,49.313999999999965
386,21032,8-9,118.98399999999992
387,21033,8-9,111.98399999999992
388,21034,8-9,423.22499999999997
389,21035,8-9,32.78399999999999
390,21036,8-9,36.803999999999974
391,21037,8-9,25.553999999999974
392,21038,8-9,130.6239999999999
393,21039,8-9,339.61499999999995
394,21040,8-9,111.98399999999992
395,21041,8-9,18.8839999999999
396,21042,8-9,333.11499999999995
397,21043,8-9,43.67399999999998
398,21044,8-9,333.0849999999999
399,21045,8-9,333.41499999999996
400,22001,8-9,324.91200000000003
401,22002,8-9,354.432
402,22003,8-9,354.41200000000003
403,22004,8-9,318.452
404,22005,8-9,2.0049999999999955
405,22006,8-9,358.762
406,22007,8-9,330.652
407,22008,8-9,323.892
408,22009,8-9,330.922
409,22010,8-9,312.052
410,22011,8-9,37.434999999999945
411,22012,8-9,312.172
412,22013,8-9,318.442
413,22014,8-9,26.274999999999977
414,22015,8-9,312.432
415,22016,8-9,339.632
416,22017,8-9,323.722
417,22018,8-9,318.592
418,22019,8-9,318.442
419,22020,8-9,318.442
420,22021,8-9,415.692
421,22022,8-9,324.612
422,22023,8-9,318.182
423,22024,8-9,318.482
424,22025,8-9,7.975000000000023
425,22026,8-9,7.274999999999977
426,22027,8-9,312.152
427,22028,8-9,312.29200000000003
428,22029,8-9,7.085000000000036
429,22030,8-9,114.68499999999995
430,22031,8-9,312.142
431,22032,8-9,324.712
432,22033,8-9,20.664999999999964
433,22034,8-9,14.835000000000036
