sim,period,inter,direc,cycle,type,vspfast,vspslow,vspmass,vehicleslow,vehiclefast,avgspeed,avgaccel,avgTT
0,morning1,Bishop,NB,3,21,3874.8971730843314,304.0272194428918,6179.793391669257,9,33,59.661158536585475,0.20946646341463387,35.54615384615384
0,morning1,Bishop,NB,3,42,92.00074850661957,52.222509378140565,2387.760257540089,1,1,49.01590909090908,0.5018181818181816,
0,morning1,Bishop,NB,4,42,55.16549836451794,62.27724111036207,1944.3819947461134,1,1,38.254642857142876,0.4474999999999999,
0,morning1,Bishop,NB,4,21,2389.8236786537145,876.9538830539632,4830.910658253313,19,30,48.06393939393941,0.08464646464646454,56.472727272727276
0,morning1,Bishop,NB,5,21,4081.751854103226,1354.1511837464311,8038.613412372072,23,45,48.12398852223815,0.15472022955523657,69.08823529411767
0,morning1,Bishop,NB,5,42,27.49504744330283,117.74394131429138,2404.5766978707297,2,1,17.009999999999998,-0.10242424242424226,68.5
0,morning1,Bishop,NB,6,21,2649.417641559938,1598.2294606979876,6281.420534819021,30,35,38.94237521514631,0.3697418244406198,52.956
0,morning1,Bishop,NB,7,21,3480.793910141756,130.4080727679557,5340.2454923268815,12,42,55.91807962529261,0.053266978922716555,34.542857142857144
0,morning1,Bishop,NB,7,61,54.41253003604273,0.0,1249.149975588274,0,2,50.517857142857146,0.0028571428571428567,40.2
0,morning1,Bishop,NB,7,52,50.63281323425706,-1.6137073735851404,418.57414494427746,2,2,44.82857142857145,0.002428571428571419,42.0
0,morning1,Bishop,NB,8,21,2921.168345354525,368.0401945307204,4864.081588782301,14,30,53.70334710743799,0.2946694214876031,37.6888888888889
0,morning1,Bishop,NB,8,61,27.629509498052755,0.0,634.291423173063,0,1,51.76,0.0,36.3
0,morning1,Bishop,NB,8,52,30.685420486463094,0.0,262.02280553390835,0,1,54.610588235294074,0.0029411764705882353,
0,morning1,Bishop,NB,9,21,1337.4194841621575,1002.8542840931104,3460.79684849589,17,22,39.214686567164165,0.4658805970149253,52.70588235294118
0,morning1,Bishop,NB,9,61,67.50816084955751,0.0,1549.7867388517955,0,1,56.89965517241382,0.0,33.0
0,morning1,Bishop,NB,10,21,2822.304843887015,50.798936109389814,4248.745869858683,5,37,57.492313019390416,0.03319944598337953,32.44090909090909
0,morning1,Bishop,NB,10,61,41.70285898588323,0.0,957.3737014189728,0,1,50.539999999999985,0.0,40.3
0,morning1,Bishop,NB,10,42,40.79666776271117,0.0,675.4296314794461,0,1,50.80680000000001,0.010799999999999997,38.1
0,morning1,Bishop,NB,11,21,2345.1800400359566,183.95643059989507,3740.0870127762973,3,27,60.08224568138202,0.09877159309021116,34.38125
0,morning1,Bishop,NB,11,42,0.0,1.807364486589416,29.922726439974372,1,0,10.58,0.25,
0,morning1,Bishop,NB,12,21,2882.027089034219,-131.4662284611927,4067.529400615391,22,36,52.58684729064041,-0.011317733990148236,41.09166666666667
0,morning1,Bishop,NB,12,42,200.59267427792216,73.50885415818804,4538.024904788241,2,2,50.28396825396828,0.2655555555555556,
0,morning1,Bishop,NB,12,61,136.25569766455928,0.0,3128.0258664448215,0,1,52.03694444444443,0.10416666666666664,38.7
0,morning1,Bishop,NB,12,52,48.54146440959139,0.0,414.4955645935009,0,1,51.78250000000004,0.08361111111111111,38.7
0,morning1,Bishop,NB,13,21,2593.585312276346,838.6928326057492,5075.652920651642,21,34,47.008446601941834,0.5120631067961162,42.934782608695656
0,morning1,Bishop,NB,14,21,3419.3951624806996,1346.4867471976333,7047.786168032318,27,37,43.48586734693873,0.20202380952380977,51.65238095238095
0,morning1,Bishop,NB,14,42,35.98201186329056,0.0,595.7181884086385,0,1,55.1985,0.0025000000000000053,33.7
0,morning1,Bishop,NB,14,52,35.15323368797682,14.56926969597863,424.5804563955956,1,1,47.558571428571426,0.19142857142857136,
0,morning1,Bishop,NB,15,21,3301.412029741548,788.4586682178845,6048.100788142408,19,42,53.50916927899691,0.2773981191222566,47.535000000000004
0,morning1,Bishop,NB,15,52,7.26925615753977,0.0,62.072178329232095,0,1,55.60875000000001,0.0,
0,morning1,Bishop,NB,16,21,2449.4674465158323,1502.6049815209874,5844.324706580848,28,35,32.28586337760912,0.17941176470588208,61.19999999999998
0,morning1,Bishop,NB,16,52,7.603897301149537,21.305332730396522,246.8559152393718,1,1,27.887000000000008,0.2725,
0,morning1,Bishop,NB,16,42,105.69967395282377,57.48600565155946,2701.702111530169,1,2,45.990599999999986,0.21440000000000003,
0,morning1,Bishop,NB,17,21,1415.0882801377481,415.861029980051,2707.607839802201,9,19,54.14400000000002,0.2512580645161291,39.10909090909091
0,morning1,Bishop,NB,17,42,12.939024928164033,46.38336139218288,982.1414279196634,1,1,29.017142857142858,0.9128571428571428,
0,morning1,Bishop,NB,17,52,27.628346520734556,0.0,235.91845094055236,0,1,51.435624999999995,0.13812499999999997,
