sim,period,inter,direc,cycle,type,fuel
0,morning1,Bishop,NB,38,52,30.503549135026304
0,morning1,Bishop,NB,39,21,527.677542831286
0,morning1,Bishop,NB,39,52,10.480482461402776
0,morning1,Bishop,NB,40,21,690.5116352015972
0,morning1,Bishop,NB,40,42,0.7677472416834019
0,morning1,Bishop,NB,41,21,434.1913988154707
0,morning1,Bishop,NB,41,61,7.4161594007908755
0,morning1,Bishop,NB,41,42,6.0553652127631175
0,morning1,Bishop,NB,42,21,244.17464913310354
0,morning1,Bishop,NB,42,42,24.414021237274735
0,morning1,Bishop,NB,43,21,453.5439639137479
0,morning1,Bishop,NB,43,42,3.4746144117681967
0,morning1,Bishop,NB,44,21,656.832751946068
0,morning1,Bishop,NB,44,42,40.955501601405786
0,morning1,Bishop,NB,45,21,456.78081648659753
0,morning1,Bishop,NB,45,42,5.3997804062894765
0,morning1,Bishop,NB,46,21,276.73538296984435
0,morning1,Bishop,NB,47,21,309.8998836008696
0,morning1,Bishop,NB,47,52,8.859350997278002
0,morning1,Bishop,SB,1,21,136.10755016061213
0,morning1,Bishop,SB,1,61,3.432909740597913
0,morning1,Bishop,SB,2,21,246.97405898458803
0,morning1,Bishop,SB,2,61,31.468192639003306
0,morning1,Bishop,SB,2,42,6.8322670155500695
0,morning1,Bishop,SB,3,21,267.89070166053244
0,morning1,Bishop,SB,3,61,3.682239424524812
0,morning1,Bishop,SB,3,42,10.931627224880113
0,morning1,Bishop,SB,4,21,289.2752405524901
0,morning1,Bishop,SB,5,21,279.2110993589365
0,morning1,Bishop,SB,5,61,6.203234550423268
0,morning1,Bishop,SB,5,42,18.61694370710584
0,morning1,Bishop,SB,5,52,19.42376670100417
0,morning1,Bishop,SB,6,21,361.2213278203385
0,morning1,Bishop,SB,7,21,119.20639113668524
0,morning1,Bishop,SB,8,21,330.90040737586725
0,morning1,Bishop,SB,8,52,35.86558003036289
0,morning1,Bishop,SB,8,61,37.716815447801885
0,morning1,Bishop,SB,9,21,355.5942904204772
0,morning1,Bishop,SB,10,21,129.5623932375677
0,morning1,Bishop,SB,10,42,33.840206759273144
0,morning1,Bishop,SB,11,42,3.8697847313358107
0,morning1,Bishop,SB,11,21,48.02992081874333
0,morning1,Bishop,SB,11,61,31.86081209606451
0,morning1,Bishop,SB,11,52,1.685467861734075
0,morning1,Bishop,SB,12,61,11.190954372950928
0,morning1,Bishop,SB,12,21,505.44002098085826
0,morning1,Bishop,SB,12,52,41.348531196181575
0,morning1,Bishop,SB,13,21,321.39215810256417
0,morning1,Bishop,SB,13,52,3.3643589850336975
0,morning1,Bishop,SB,14,21,131.0646881081481
0,morning1,Bishop,SB,14,52,35.53372522729491
0,morning1,Bishop,SB,15,21,547.6173645249943
0,morning1,Bishop,SB,15,52,9.663774085343833
0,morning1,Bishop,SB,15,61,26.136831257606786
0,morning1,Bishop,SB,16,21,354.6238407034086
0,morning1,Bishop,SB,16,61,24.118894527951113
0,morning1,Bishop,SB,16,52,15.174500721975285
0,morning1,Bishop,SB,17,21,363.501557338312
0,morning1,Bishop,SB,17,52,3.20921322601166
0,morning1,Bishop,SB,17,61,45.53275540564312
0,morning1,Bishop,SB,18,21,101.64614048799444
0,morning1,Bishop,SB,19,21,380.2019938725435
0,morning1,Bishop,SB,19,42,18.115109330138285
0,morning1,Bishop,SB,19,52,33.96683447029913
0,morning1,Bishop,SB,20,21,424.22143852674844
0,morning1,Bishop,SB,20,52,3.0812783018119423
0,morning1,Bishop,SB,20,61,17.81943577176244
0,morning1,Bishop,SB,21,21,109.5823063353627
0,morning1,Bishop,SB,21,61,5.6596599388979145
0,morning1,Bishop,SB,21,42,14.510259499235689
0,morning1,Bishop,SB,22,21,195.81756548915
0,morning1,Bishop,SB,22,52,14.871170897945651
0,morning1,Bishop,SB,23,21,281.2576838532738
0,morning1,Bishop,SB,23,52,3.4695345583146002
0,morning1,Bishop,SB,24,21,243.40011697952818
0,morning1,Bishop,SB,24,61,37.438405209771076
0,morning1,Bishop,SB,24,52,21.367028161535714
0,morning1,Bishop,SB,25,61,16.607281200375702
0,morning1,Bishop,SB,25,21,111.5267363833686
0,morning1,Bishop,SB,25,52,8.49234234438934
0,morning1,Bishop,SB,25,42,0.5360910745739584
0,morning1,Bishop,SB,26,21,542.8451814218577
0,morning1,Bishop,SB,26,42,2.4004334078417524
0,morning1,Bishop,SB,26,61,30.85800309229192
0,morning1,Bishop,SB,27,21,124.29175111294465
0,morning1,Bishop,SB,27,61,5.279364351712654
0,morning1,Bishop,SB,28,21,446.7345199996818
0,morning1,Bishop,SB,28,61,56.99705622983184
0,morning1,Bishop,SB,28,42,37.105413898680965
0,morning1,Bishop,SB,28,52,32.67358312299723
0,morning1,Bishop,SB,29,61,36.71708073144247
0,morning1,Bishop,SB,29,21,226.69645155665935
0,morning1,Bishop,SB,30,21,207.90419620278314
0,morning1,Bishop,SB,30,61,37.622970115269624
0,morning1,Bishop,SB,30,52,14.40838967481801
0,morning1,Bishop,SB,31,21,231.2592929542488
0,morning1,Bishop,SB,31,61,8.435531862706993
0,morning1,Bishop,SB,31,52,19.3557045043316
0,morning1,Bishop,SB,32,52,3.204615191594929
0,morning1,Bishop,SB,32,21,296.3024114266913
0,morning1,Bishop,SB,32,61,25.228653350967928
0,morning1,Bishop,SB,33,21,111.99682322339596
0,morning1,Bishop,SB,33,61,3.1439096334870014
0,morning1,Bishop,SB,34,21,154.3196896545676
0,morning1,Bishop,SB,34,52,2.1217017421012647
0,morning1,Bishop,SB,35,21,748.4154752360006
0,morning1,Bishop,SB,35,61,56.66467943374237
0,morning1,Bishop,SB,35,52,70.51751398156911
0,morning1,Bishop,SB,36,21,163.87958944931117
0,morning1,Bishop,SB,36,61,6.132285754400642
0,morning1,Bishop,SB,37,21,315.1473851042392
0,morning1,Bishop,SB,37,42,27.280414162390343
0,morning1,Bishop,SB,38,21,183.00054102639768
0,morning1,Bishop,SB,38,42,3.3333643101380313
0,morning1,Bishop,SB,38,52,8.13098371058302
0,morning1,Bishop,SB,39,52,68.20270471189282
0,morning1,Bishop,SB,39,21,267.8495574109629
0,morning1,Bishop,SB,39,61,23.49774204096329
0,morning1,Bishop,SB,40,21,274.76679779827396
0,morning1,Bishop,SB,40,52,29.86319016092184
0,morning1,Bishop,SB,41,61,9.873395738675935
0,morning1,Bishop,SB,41,21,166.1320882035226
0,morning1,Bishop,SB,41,42,8.964471614394585
0,morning1,Bishop,SB,41,52,1.6362349409146435
0,morning1,Bishop,SB,42,21,152.42731382843414
0,morning1,Bishop,SB,42,42,35.32507492199686
0,morning1,Bishop,SB,42,52,40.27535666540003
0,morning1,Bishop,SB,43,21,210.90918517024187
0,morning1,Bishop,SB,44,21,416.308106860622
0,morning1,Bishop,SB,44,52,72.65652074886005
0,morning1,Bishop,SB,44,61,32.25576703871884
0,morning1,Bishop,SB,45,21,606.7944542636482
0,morning1,Bishop,SB,45,52,4.519712343770795
0,morning1,Bishop,SB,46,21,100.09964498869596
0,morning1,Bishop,SB,46,52,5.888369522850415
0,morning1,Bishop,SB,47,21,363.48900298398155
0,morning1,Bishop,SB,47,61,30.508031882276793
0,morning1,Bishop,SB,47,52,43.65074783156322
0,morning1,Sheldon,NB,1,21,994.6364080838116
0,morning1,Sheldon,NB,1,42,4.484639134681121
0,morning1,Sheldon,NB,1,52,36.182434311280204
0,morning1,Sheldon,NB,2,21,702.9452611078252
0,morning1,Sheldon,NB,2,52,66.70588165320405
